ds,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),t,rh,ah,yhat,yhat_lower,yhat_upper
3/11/2004 12:00,1.6,1236,61,5.2,774,104,1301,95,1401,664,9.5,66.8,0.795,42.17,26.90,57.70
3/11/2004 13:00,1.9,1286,63,7.3,869,146,1162,112,1537,799,8.3,76.4,0.839,40.78,24.19,56.85
3/11/2004 14:00,2.9,1371,164,11.5,1034,207,983,128,1730,1037,8,81.1,0.874,40.19,24.92,54.96
3/11/2004 15:00,2.2,1310,79,8.8,933,184,1082,126,1647,946,8.3,79.8,0.878,39.98,23.76,55.99
3/11/2004 16:00,2.2,1292,95,8.3,912,193,1103,131,1591,957,9.7,71.2,0.857,40.39,25.62,56.26
3/11/2004 17:00,2.9,1383,150,11.2,1020,243,1008,135,1719,1104,9.8,67.6,0.819,41.95,26.03,57.02
3/11/2004 18:00,4.8,1581,307,20.8,1319,281,799,151,2083,1409,10.3,64.2,0.807,44.78,29.58,60.22
3/11/2004 19:00,6.9,1776,461,27.4,1488,383,702,172,2333,1704,9.7,69.3,0.832,48.27,30.71,63.66
3/11/2004 20:00,6.1,1640,401,24,1404,351,743,165,2191,1654,9.6,67.8,0.813,51.50,34.98,66.20
3/11/2004 21:00,3.9,1313,197,12.8,1076,240,957,136,1707,1285,9.1,64,0.742,53.91,39.23,68.88
3/11/2004 22:00,1.5,965,61,4.7,749,94,1325,85,1333,821,8.2,63.4,0.691,55.61,40.97,71.20
3/11/2004 23:00,1,913,26,2.6,629,47,1565,53,1252,552,8.2,60.8,0.666,57.10,41.36,73.81
3/12/2004 0:00,1.7,1080,55,5.9,805,122,1254,97,1375,816,8.3,58.5,0.644,58.67,44.01,73.61
3/12/2004 1:00,1.9,1044,53,6.4,829,133,1247,110,1378,832,7.7,59.7,0.631,60.19,45.36,76.08
3/12/2004 2:00,1.4,988,40,4.1,718,82,1396,91,1304,692,7.1,61.8,0.628,61.42,46.09,76.63
3/12/2004 3:00,0.8,889,21,1.9,574,-200,1680,-200,1187,512,7,62.3,0.626,62.35,46.94,78.13
3/12/2004 4:00,-200,831,10,1.1,506,21,1893,32,1134,384,6.1,65.9,0.625,63.28,47.59,78.59
3/12/2004 5:00,0.6,847,7,1,501,30,1895,44,1155,394,6.3,65,0.623,64.29,48.46,79.86
3/12/2004 6:00,0.8,927,17,1.8,571,56,1685,71,1223,487,6.8,62.9,0.623,64.87,49.77,80.77
3/12/2004 7:00,1.4,1091,33,4.4,730,109,1387,104,1361,748,6.4,65.1,0.632,63.98,49.16,79.28
3/12/2004 8:00,4.4,1587,202,17.9,1236,307,897,141,1900,1400,7.3,63.1,0.650,60.88,45.36,75.56
3/12/2004 9:00,-200,1545,-200,22.1,1353,-200,767,-200,2058,1588,9.2,56.2,0.656,55.84,41.42,70.87
3/12/2004 10:00,3.1,1350,208,14,1118,187,912,122,1712,1237,13.2,41.7,0.632,50.17,35.02,65.37
3/12/2004 11:00,2.7,1263,166,11.6,1037,216,969,143,1598,1167,14.3,38.4,0.624,45.40,30.25,61.14
3/12/2004 12:00,2.1,1206,114,10.2,986,143,1035,113,1537,959,15,36.5,0.620,42.39,27.07,58.19
3/12/2004 13:00,2.5,1252,140,11,1016,160,1008,116,1593,983,16.1,34.5,0.626,40.93,24.21,55.49
3/12/2004 14:00,2.7,1287,169,12.8,1078,163,949,123,1660,1061,16.3,35.7,0.656,40.26,24.41,55.75
3/12/2004 15:00,2.9,1353,185,14.2,1122,190,922,126,1740,1139,15.8,37,0.661,39.96,24.89,55.30
3/12/2004 16:00,2.8,1309,165,12.7,1073,178,954,120,1657,1112,15.9,37.2,0.666,40.27,24.38,55.99
3/12/2004 17:00,2.4,1274,133,11.7,1041,150,1006,119,1610,994,16.9,34.3,0.655,41.73,25.74,57.01
3/12/2004 18:00,3.9,1510,233,19.3,1277,206,812,149,1910,1410,15.1,39.6,0.677,44.46,29.59,59.83
3/12/2004 19:00,3.7,1525,242,18.2,1246,202,821,145,1847,1448,14.4,43.4,0.708,47.85,31.27,63.65
3/12/2004 20:00,6.6,1843,488,32.6,1610,340,624,170,2390,1887,12.9,50.5,0.748,50.97,35.15,66.34
3/12/2004 21:00,4.4,1598,333,20.1,1299,274,752,149,1941,1627,12.1,53.3,0.754,53.28,37.51,68.44
3/12/2004 22:00,3.5,1484,215,14.3,1127,253,839,139,1723,1491,11,59.1,0.774,54.88,39.81,70.74
3/12/2004 23:00,5.4,1677,367,21.8,1346,300,741,134,2062,1657,9.7,64.6,0.777,56.27,41.49,72.40
3/13/2004 0:00,2.7,1280,122,9.6,964,193,963,113,1544,1285,9.5,64.1,0.760,57.75,43.18,72.65
3/13/2004 1:00,1.9,1196,67,7.4,873,139,1071,97,1463,1144,9.1,63.9,0.742,59.19,42.65,74.44
3/13/2004 2:00,1.6,1184,43,5.4,782,83,1176,82,1365,1043,8.8,63.9,0.726,60.33,44.84,76.74
3/13/2004 3:00,1.7,1172,46,5.4,783,-200,1179,-200,1380,996,7.8,67.5,0.717,61.19,45.88,77.21
3/13/2004 4:00,-200,1147,56,6.2,821,109,1132,83,1412,992,7,71.1,0.716,62.05,47.42,77.05
3/13/2004 5:00,1,978,30,2.6,625,62,1420,65,1274,819,8.3,63.6,0.698,63.01,46.80,77.77
3/13/2004 6:00,1.2,1100,27,2.9,646,53,1406,60,1268,835,7.2,67.5,0.689,63.54,48.83,78.93
3/13/2004 7:00,1.5,1112,47,5.1,770,139,1228,77,1409,940,6.3,71.9,0.693,62.62,46.57,79.58
3/13/2004 8:00,2.7,1336,132,11.8,1043,256,935,96,1678,1192,6.5,71.6,0.695,59.50,43.54,76.08
3/13/2004 9:00,3.7,1408,239,15.1,1153,295,830,119,1777,1411,9.6,59.7,0.712,54.44,38.86,70.51
3/13/2004 10:00,3.2,1447,160,12.9,1081,250,869,126,1667,1465,12.4,51.2,0.734,48.77,33.78,63.80
3/13/2004 11:00,4.1,1542,283,16.1,1184,296,808,158,1780,1583,15.6,42.2,0.745,44.01,28.15,59.47
3/13/2004 12:00,3.6,1451,210,14,1117,239,875,161,1679,1387,18.4,33.8,0.709,41.03,25.82,57.23
3/13/2004 13:00,2.8,1328,154,12.3,1059,153,987,124,1600,1101,19.4,31.3,0.695,39.59,24.28,55.20
3/13/2004 14:00,2,1207,112,8.6,924,118,1088,102,1488,850,18,34.8,0.713,38.97,23.79,55.00
3/13/2004 15:00,2,1240,108,9.2,947,119,1049,116,1532,947,18.4,33.6,0.704,38.72,24.63,53.65
3/13/2004 16:00,2.5,1306,111,10.2,987,138,1004,124,1554,1078,17.6,35.1,0.701,39.09,22.74,54.75
3/13/2004 17:00,2.3,1326,97,10.6,1000,148,976,125,1602,1084,16.7,37.8,0.712,40.63,25.13,56.39
3/13/2004 18:00,3.2,1473,191,15.5,1163,227,831,148,1779,1395,16.1,41,0.745,43.43,28.44,58.58
3/13/2004 19:00,4.2,1609,258,19.6,1286,277,758,165,1922,1612,15.8,42.4,0.757,46.90,31.11,62.98
3/13/2004 20:00,4.2,1611,284,19.2,1274,279,754,161,1915,1697,15.7,44.1,0.779,50.12,34.70,64.77
3/13/2004 21:00,4.2,1621,269,18.3,1247,283,762,159,1860,1886,15.3,46.8,0.809,52.51,36.86,67.11
3/13/2004 22:00,3.1,1444,180,13.1,1089,214,844,143,1748,1624,14.6,48.6,0.806,54.21,39.29,69.90
3/13/2004 23:00,2.6,1418,116,10.9,1010,172,892,130,1603,1536,14.7,49.3,0.819,55.70,40.36,71.09
3/14/2004 0:00,2.9,1534,93,11,1013,190,889,129,1611,1535,13.9,53.6,0.850,57.27,41.87,71.17
3/14/2004 1:00,2.8,1484,131,11.9,1045,174,880,119,1624,1530,14.6,51.5,0.854,58.81,43.98,74.62
3/14/2004 2:00,2.5,1367,92,8.6,925,128,953,104,1543,1337,12.5,58.9,0.854,60.05,43.63,75.96
3/14/2004 3:00,2.4,1344,132,9.7,968,-200,921,-200,1620,1278,11.6,63.4,0.867,61.00,45.91,76.33
3/14/2004 4:00,-200,1130,56,5.2,773,70,1130,82,1452,1051,12.1,61.1,0.860,61.94,45.79,76.52
3/14/2004 5:00,1.2,1062,32,3.7,691,53,1272,70,1377,929,11.5,63.1,0.853,62.98,47.51,78.08
3/14/2004 6:00,1,1076,29,2.5,618,44,1395,63,1333,872,11.6,62.2,0.847,63.58,48.36,78.89
3/14/2004 7:00,0.9,1028,27,2.4,615,74,1384,67,1340,853,10.4,67.6,0.853,62.71,47.10,79.63
3/14/2004 8:00,1.4,1155,36,4.2,722,101,1225,84,1414,959,11.6,62.7,0.853,59.65,44.08,75.51
3/14/2004 9:00,1.6,1235,57,6.4,828,118,1055,83,1527,1093,12.4,60,0.863,54.64,39.27,70.25
3/14/2004 10:00,2.2,1332,129,8.6,923,144,952,98,1614,1225,14.5,53.1,0.873,48.99,34.49,63.85
3/14/2004 11:00,2.8,1445,148,10.9,1009,176,878,114,1696,1355,16.9,46.1,0.879,44.26,28.96,59.81
3/14/2004 12:00,2.8,1416,145,10.7,1002,161,907,119,1677,1262,19.3,38.3,0.847,41.28,26.75,56.40
3/14/2004 13:00,2,1281,93,7.5,880,113,1084,104,1525,980,21.2,31.4,0.781,39.84,25.47,55.13
3/14/2004 14:00,1.8,1207,84,7.5,879,103,1104,102,1490,872,21.4,30.2,0.762,39.19,24.52,55.29
3/14/2004 15:00,1.9,1258,99,8.2,906,112,1081,107,1511,900,21.9,29,0.753,38.92,24.18,55.98
3/14/2004 16:00,3,1458,150,11.9,1045,170,974,129,1646,1099,22.2,28.4,0.752,39.25,24.27,54.62
3/14/2004 17:00,2.9,1438,156,12,1051,180,943,128,1668,1206,21.3,30.8,0.770,40.73,24.99,56.31
3/14/2004 18:00,2.5,1478,122,12.2,1055,160,929,121,1671,1262,19.7,36.7,0.831,43.47,27.82,57.75
3/14/2004 19:00,4.6,1808,262,20.6,1312,261,753,157,1993,1698,18.4,41.7,0.873,46.87,31.33,62.13
3/14/2004 20:00,5.9,1898,341,23.1,1381,325,681,173,2103,1905,17.6,46.1,0.921,50.00,34.41,64.74
3/14/2004 21:00,3.4,1560,214,14.7,1140,217,784,146,1818,1648,16.7,49.6,0.932,52.31,35.92,68.40
3/14/2004 22:00,2.1,1324,100,9,940,146,924,121,1587,1423,16.3,51,0.934,53.91,37.83,69.92
3/14/2004 23:00,2.2,1349,79,8.8,933,152,933,119,1617,1349,14.7,55.9,0.931,55.29,39.53,70.88
3/15/2004 0:00,1.8,1239,66,7.4,872,104,985,99,1547,1250,14.8,54.7,0.916,56.76,41.14,71.72
3/15/2004 1:00,1.8,1239,73,6.9,853,106,1010,93,1543,1174,14,57,0.909,58.18,41.43,73.45
3/15/2004 2:00,1.8,1224,66,7,855,108,998,88,1566,1149,13.4,61.3,0.936,59.31,43.59,74.45
3/15/2004 3:00,1.1,1078,44,4.4,734,-200,1128,-200,1487,1021,12.6,63.5,0.923,60.14,44.58,76.55
3/15/2004 4:00,-200,1078,44,4,711,66,1150,71,1468,1013,12.3,65.4,0.935,60.97,45.66,76.87
3/15/2004 5:00,1,1075,39,3.9,703,88,1156,74,1464,1010,11.9,67.4,0.938,61.90,46.35,77.73
3/15/2004 6:00,1.4,1157,51,6.4,830,138,1030,80,1584,1083,11.4,70.5,0.948,62.40,46.30,78.51
3/15/2004 7:00,2.2,1314,107,9.7,966,228,897,89,1710,1235,11.3,70.2,0.940,61.44,47.84,77.59
3/15/2004 8:00,5.5,1797,336,25.9,1451,360,652,114,2323,1680,12.4,63.9,0.917,58.28,44.53,73.13
3/15/2004 9:00,8.1,1961,618,36.7,1701,478,537,149,2665,2184,14.8,54.3,0.908,53.18,38.03,68.75
3/15/2004 10:00,5.8,1771,438,26.6,1470,394,622,157,2262,1973,17.4,45.6,0.899,47.46,32.38,62.59
3/15/2004 11:00,4.2,1564,334,20.1,1300,319,710,155,2029,1798,19.8,38.5,0.880,42.67,27.52,58.17
3/15/2004 12:00,3.1,1430,221,14.1,1120,201,831,134,1783,1522,22,34.1,0.890,39.64,23.27,55.50
3/15/2004 13:00,2.9,1417,207,14.9,1146,171,830,119,1831,1404,23.3,32.2,0.910,38.16,22.53,52.82
3/15/2004 14:00,2.9,1400,191,15.4,1162,159,838,111,1829,1263,23.9,30,0.876,37.50,22.26,53.08
3/15/2004 15:00,2.5,1317,185,12.1,1053,153,926,104,1707,1137,24.4,28.9,0.874,37.21,20.57,53.09
3/15/2004 16:00,2.3,1318,141,11.5,1033,143,950,99,1675,1068,24.4,29.4,0.885,37.56,21.62,52.78
3/15/2004 17:00,2.8,1445,214,14.8,1141,156,857,110,1824,1252,23.8,31.3,0.914,39.06,23.62,54.58
3/15/2004 18:00,6.1,1917,471,32.1,1601,314,631,162,2447,1843,22.5,35.4,0.955,41.84,26.32,56.74
3/15/2004 19:00,8,2040,685,39.2,1754,404,542,187,2679,2122,20.4,42.5,1.009,45.30,31.14,60.58
3/15/2004 20:00,6.5,1895,538,31,1573,320,565,165,2443,1992,18.3,52.6,1.095,48.50,34.14,63.29
3/15/2004 21:00,4.2,1595,319,19.9,1294,256,678,145,2058,1707,16.7,57.4,1.079,50.89,35.96,66.51
3/15/2004 22:00,3.2,1439,224,15.3,1159,193,764,125,1856,1494,15.7,60.2,1.065,52.59,37.35,68.08
3/15/2004 23:00,1.4,1142,67,6.9,852,89,1008,101,1547,1164,15.3,61.4,1.058,54.09,37.78,69.83
3/16/2004 0:00,2.1,1304,155,11.1,1019,127,852,103,1731,1272,14.1,65.7,1.049,55.68,40.67,72.33
3/16/2004 1:00,1.2,1074,49,5.4,784,79,1098,88,1483,1040,14.8,60.6,1.015,57.25,41.93,71.89
3/16/2004 2:00,0.8,968,29,2.8,640,43,1320,61,1386,867,14.8,59.2,0.988,58.52,42.22,74.26
3/16/2004 3:00,0.7,929,25,2.3,608,-200,1376,-200,1364,826,13.6,62.1,0.964,59.52,44.76,73.98
3/16/2004 4:00,-200,941,25,2.6,626,59,1316,59,1373,840,12.3,66.2,0.945,60.52,44.75,76.37
3/16/2004 5:00,0.6,937,17,2,585,38,1412,52,1348,793,12.8,63.2,0.928,61.62,46.07,76.62
3/16/2004 6:00,0.9,1017,27,3.5,681,82,1246,64,1418,870,11.2,68.5,0.908,62.30,47.04,76.74
3/16/2004 7:00,1.3,1171,50,5.1,770,99,1162,70,1467,930,11,66.5,0.871,61.52,46.23,76.19
3/16/2004 8:00,3.4,1541,218,16.2,1185,263,770,97,1889,1407,11.7,63.7,0.872,58.55,42.58,74.14
3/16/2004 9:00,3.7,1539,285,19.7,1287,229,698,95,2055,1507,13.6,56.3,0.874,53.64,38.07,69.32
3/16/2004 10:00,5.3,1735,437,25.1,1431,396,628,150,2211,1843,17.8,42.9,0.867,48.10,32.65,65.40
3/16/2004 11:00,4.1,1571,327,20,1297,314,730,162,1973,1729,21.4,33.3,0.842,43.49,27.61,59.27
3/16/2004 12:00,3.3,1452,283,18.3,1250,217,776,154,1868,1583,24.4,27.4,0.823,40.64,24.51,55.80
3/16/2004 13:00,4,1579,366,22.3,1359,252,724,161,1998,1671,25.3,26.1,0.826,39.33,23.94,54.14
3/16/2004 14:00,3.8,1466,318,20.4,1309,263,773,161,1897,1491,25.8,23.2,0.759,38.83,23.58,53.86
3/16/2004 15:00,2.8,1280,228,14.6,1136,180,893,128,1675,1240,27,20.2,0.709,38.70,23.00,53.70
3/16/2004 16:00,2.9,1407,201,16.6,1197,184,905,129,1759,1313,28.2,18.6,0.701,39.19,23.27,54.65
3/16/2004 17:00,2.9,1389,199,15.8,1173,190,898,133,1739,1363,28,19.1,0.710,40.82,25.76,57.43
3/16/2004 18:00,3.4,1447,237,17.8,1235,184,859,139,1778,1296,23.9,25.7,0.752,43.72,28.31,59.08
3/16/2004 19:00,3.9,1551,261,19.1,1271,181,800,137,1875,1432,21.3,34.8,0.873,47.27,31.30,63.42
3/16/2004 20:00,3.2,1474,230,15.8,1173,166,854,143,1776,1432,20.4,36.7,0.870,50.57,35.20,65.43
3/16/2004 21:00,5.1,1800,349,24.9,1426,317,700,177,2106,2034,19,41.3,0.901,53.03,37.70,69.62
3/16/2004 22:00,2.6,1379,183,13.5,1101,184,818,138,1710,1602,17.9,45.9,0.934,54.79,39.09,70.19
3/16/2004 23:00,1.7,1201,88,9.1,943,130,935,117,1560,1362,16.7,48.9,0.923,56.33,39.91,71.27
3/17/2004 0:00,1.7,1205,85,8.6,925,132,922,107,1547,1314,15.5,52.9,0.927,57.94,42.28,73.59
3/17/2004 1:00,1.2,1072,47,5.4,784,95,1066,90,1442,1114,15.5,51.9,0.906,59.52,43.28,76.18
3/17/2004 2:00,0.9,998,34,4.1,714,70,1169,79,1383,992,14.1,55.6,0.891,60.78,45.60,76.13
3/17/2004 3:00,0.7,933,26,2.6,625,-200,1292,-200,1332,884,13.1,57.9,0.867,61.75,45.68,77.60
3/17/2004 4:00,-200,883,17,1.9,577,54,1396,60,1303,808,12.7,57.9,0.845,62.71,48.09,78.44
3/17/2004 5:00,0.5,869,11,1.6,554,28,1460,40,1268,667,11.8,58,0.803,63.76,48.50,79.18
3/17/2004 6:00,0.5,891,18,1.9,576,46,1417,53,1289,733,11.9,57.4,0.798,64.37,48.83,79.22
3/17/2004 7:00,1.6,1173,84,7.5,878,160,1038,84,1556,1052,9.9,65.2,0.796,63.51,47.97,77.83
3/17/2004 8:00,4.1,1587,260,21.4,1334,320,702,108,1999,1534,11.1,60.2,0.796,60.45,43.54,75.24
3/17/2004 9:00,6.6,1852,534,36.4,1696,377,553,127,2535,1931,14.1,50,0.802,55.44,39.33,69.71
3/17/2004 10:00,4.3,1522,368,21.3,1331,280,703,134,2026,1734,17.7,40.1,0.805,49.79,34.09,64.92
3/17/2004 11:00,2.9,1438,200,15.4,1161,221,819,135,1782,1595,21.1,33.4,0.827,45.06,30.96,60.55
3/17/2004 12:00,2.5,1393,145,12.5,1067,210,905,142,1654,1490,24.3,28.3,0.847,42.09,26.95,58.12
3/17/2004 13:00,2.8,1452,188,15.1,1152,204,861,153,1747,1508,25.6,25.6,0.825,40.65,25.82,57.45
3/17/2004 14:00,2.6,1389,152,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.850,40.02,25.62,56.16
3/17/2004 15:00,2,1207,103,10.4,994,135,1013,104,1520,1045,26.8,18.7,0.650,39.75,23.23,55.82
3/17/2004 16:00,2.9,1365,193,15.2,1154,186,940,129,1679,1221,29.3,15.8,0.631,40.11,24.87,56.14
3/17/2004 17:00,2.5,1247,134,12.3,1060,147,1032,114,1525,1069,28.5,14.9,0.571,41.61,25.42,57.21
3/17/2004 18:00,5,1557,386,27,1478,299,793,158,1981,1569,25.9,16,0.524,44.38,28.74,59.54
3/17/2004 19:00,7.6,1973,577,38.4,1737,411,617,194,2414,2306,23.1,26.5,0.740,47.81,33.09,63.90
3/17/2004 20:00,6.7,1975,523,35.1,1667,347,597,182,2416,2359,20.5,38.2,0.913,50.98,35.67,66.41
3/17/2004 21:00,5.7,1795,472,27.2,1485,336,653,180,2174,2050,19.1,42.6,0.929,53.33,36.92,69.03
3/17/2004 22:00,2.8,1444,206,15,1150,202,770,136,1727,1727,17.2,44.1,0.856,54.99,38.27,70.25
3/17/2004 23:00,2.6,1488,216,15.7,1171,178,731,127,1778,1705,16,50.9,0.921,56.43,41.27,71.45
3/18/2004 0:00,2.3,1371,159,13,1083,154,796,116,1669,1551,14.8,53.9,0.902,57.96,42.88,72.84
3/18/2004 1:00,1.4,1161,70,8.1,904,92,947,107,1502,1240,14.3,55.4,0.898,59.46,44.21,74.34
3/18/2004 2:00,1,1064,44,5.5,787,61,1057,88,1407,1115,14.8,52.1,0.869,60.66,44.82,77.09
3/18/2004 3:00,0.7,970,42,3.6,687,-200,1196,-200,1351,969,13.9,53.9,0.850,61.57,46.60,76.70
3/18/2004 4:00,-200,954,28,2.9,645,60,1260,78,1334,925,11.6,61.9,0.844,62.49,46.70,78.75
3/18/2004 5:00,0.6,931,20,2.5,623,37,1293,57,1307,828,12,58.9,0.823,63.51,47.06,78.16
3/18/2004 6:00,0.7,938,26,3,650,68,1251,71,1333,893,10.9,62.1,0.811,64.10,47.68,78.93
3/18/2004 7:00,1.5,1166,78,7.7,885,139,1005,85,1551,1075,10.6,63.3,0.807,63.23,47.54,78.48
3/18/2004 8:00,4.7,1643,319,23.3,1384,339,667,124,2094,1610,11.5,60,0.812,60.17,45.65,75.17
3/18/2004 9:00,6.6,1934,506,35.8,1682,421,541,151,2468,2051,14.3,50.6,0.819,55.17,40.21,70.95
3/18/2004 10:00,4.5,1617,-200,21.3,1333,349,686,150,2010,1819,17.8,40.5,0.821,49.54,33.89,63.21
3/18/2004 11:00,2.8,1473,-200,14.3,1127,224,831,152,1752,1568,20.8,34.4,0.837,44.84,28.91,60.35
3/18/2004 12:00,2.2,1379,-200,12.5,1068,171,899,139,1663,1374,23.8,28.2,0.822,41.90,26.92,56.81
3/18/2004 13:00,2.2,1385,-200,12.2,1056,149,891,133,1648,1268,24.2,28.7,0.852,40.51,25.21,56.46
3/18/2004 14:00,2.3,1379,-200,13.1,1087,137,901,126,1660,1144,25.2,24.9,0.783,39.93,23.82,55.27
3/18/2004 15:00,2.2,1322,-200,14.4,1129,149,934,128,1639,1109,27,17.8,0.628,39.71,23.86,54.60
3/18/2004 16:00,2.8,1496,-200,16.8,1205,172,822,169,1767,1347,27.1,23.1,0.818,40.12,24.33,55.57
3/18/2004 17:00,2.7,1409,-200,14.5,1131,166,873,149,1689,1206,25.8,23.9,0.783,41.69,26.77,57.26
3/18/2004 18:00,3.7,1513,-200,21.5,1338,214,764,156,1957,1397,23,26.8,0.745,44.51,29.07,59.45
3/18/2004 19:00,5.1,1667,-200,26.4,1464,280,683,168,2118,1588,20.7,31.1,0.752,48.01,32.50,63.53
3/18/2004 20:00,5.1,1667,-200,26,1453,276,684,176,2051,1569,18.6,36.2,0.768,51.23,35.39,67.13
3/18/2004 21:00,3.2,1430,-200,14.1,1121,178,814,135,1732,1322,16,48.4,0.877,53.64,38.78,68.23
3/18/2004 22:00,2.1,1333,-200,10.3,989,129,885,121,1621,1194,14.5,57.8,0.946,55.34,39.20,71.67
3/18/2004 23:00,1.7,1262,-200,8.3,911,95,948,99,1545,1062,13.1,64.2,0.961,56.83,41.73,73.28
3/19/2004 0:00,2,1287,-200,8.9,936,126,918,106,1606,1040,12,69.7,0.974,58.40,42.30,74.39
3/19/2004 1:00,1.6,1134,-200,6.6,840,103,1021,96,1501,917,11.9,71.1,0.992,59.93,43.04,75.40
3/19/2004 2:00,0.9,999,-200,3.6,688,48,1229,63,1380,594,12.5,69.3,1.003,61.16,46.40,77.84
3/19/2004 3:00,0.7,961,-200,2.5,622,-200,1382,-200,1301,430,12.5,67.5,0.977,62.09,47.26,77.67
3/19/2004 4:00,-200,934,-200,1.8,569,20,1440,32,1280,397,12.3,67.7,0.967,63.01,47.55,77.55
3/19/2004 5:00,0.5,913,-200,1.3,525,18,1620,28,1260,370,12.5,66.8,0.962,64.03,48.01,79.94
3/19/2004 6:00,0.7,969,-200,2.3,607,56,1373,61,1324,438,12.3,66.3,0.949,64.60,48.92,80.24
3/19/2004 7:00,1.5,1182,-200,6.7,845,115,1054,99,1539,704,12.4,64.9,0.933,63.71,48.70,79.02
3/19/2004 8:00,4.8,1740,-200,22.8,1372,320,671,157,2144,1476,13,61.6,0.921,60.62,45.28,76.76
3/19/2004 9:00,6.2,1819,-200,31.3,1582,357,575,166,2456,1716,13.6,58.8,0.912,55.58,39.84,70.38
3/19/2004 10:00,4,1427,-200,19.2,1275,253,701,149,1980,1398,13.9,57.1,0.903,49.90,33.70,65.05
3/19/2004 11:00,3.3,1390,-200,16.4,1191,218,759,135,1879,1268,14.5,54.4,0.892,45.14,29.94,60.70
3/19/2004 12:00,2.8,1283,-200,14,1117,192,813,127,1751,1188,15.5,50.1,0.874,42.13,26.43,57.89
3/19/2004 13:00,3,1304,-200,15.3,1157,176,793,122,1801,1171,16.1,47.6,0.866,40.66,25.41,55.19
3/19/2004 14:00,3.3,1364,-200,16.7,1202,198,771,135,1875,1250,16.3,47.1,0.864,39.99,25.29,56.15
3/19/2004 15:00,3.5,1410,-200,19,1268,212,724,139,1957,1344,16.4,47.5,0.879,39.69,23.64,55.17
3/19/2004 16:00,4,1476,-200,19.4,1280,249,708,147,1955,1378,16.1,50.2,0.909,40.01,23.60,54.98
3/19/2004 17:00,4.6,1522,-200,20.9,1320,270,690,158,2005,1435,16,50.7,0.914,41.47,26.59,58.25
3/19/2004 18:00,4.1,1442,-200,20.2,1301,231,704,146,1952,1372,15.8,50.3,0.899,44.20,28.58,59.22
3/19/2004 19:00,4.5,1469,-200,21.7,1344,251,677,144,1997,1471,15.5,50.6,0.884,47.58,32.21,62.69
3/19/2004 20:00,3.9,1467,-200,19.8,1292,210,698,138,1942,1439,15.4,51.4,0.896,50.71,34.40,65.32
3/19/2004 21:00,4,1421,-200,16.7,1202,249,748,143,1854,1429,15.2,53.1,0.912,53.01,37.14,67.60
3/19/2004 22:00,2.2,1175,-200,9.1,945,143,904,116,1604,1081,14.7,57.6,0.957,54.61,39.09,70.36
